,Gene,Comparison,Significance
PiD_vs_CTL.AP2M1,AP2M1,PiD_vs_CTL,Significant
PiD_vs_CTL.MAP2K4,MAP2K4,PiD_vs_CTL,Significant
PiD_vs_CTL.VCAN,VCAN,PiD_vs_CTL,Significant
PiD_vs_CTL.HPCA,HPCA,PiD_vs_CTL,Significant
PiD_vs_CTL.PIN1,PIN1,PiD_vs_CTL,Significant
PiD_vs_CTL.AP2A2,AP2A2,PiD_vs_CTL,Significant
PiD_vs_CTL.GAS7,GAS7,PiD_vs_CTL,Significant
PiD_vs_CTL.LANCL2,LANCL2,PiD_vs_CTL,Significant
PiD_vs_CTL.HSPA4L,HSPA4L,PiD_vs_CTL,Significant
PiD_vs_CTL.AP2B1,AP2B1,PiD_vs_CTL,Significant
PiD_vs_CTL.ABI2,ABI2,PiD_vs_CTL,Significant
PiD_vs_CTL.SYT3,SYT3,PiD_vs_CTL,Significant
PiD_vs_CTL.FH,FH,PiD_vs_CTL,Significant
PiD_vs_CTL.GNAI1,GNAI1,PiD_vs_CTL,Significant
PiD_vs_CTL.SEPTIN6,SEPTIN6,PiD_vs_CTL,Significant
PiD_vs_CTL.HSPB1,HSPB1,PiD_vs_CTL,Significant
PiD_vs_CTL.SYN2,SYN2,PiD_vs_CTL,Significant
PiD_vs_CTL.SH3GL3,SH3GL3,PiD_vs_CTL,Significant
PiD_vs_CTL.COTL1,COTL1,PiD_vs_CTL,Significant
PiD_vs_CTL.SLC4A4,SLC4A4,PiD_vs_CTL,Significant
PiD_vs_CTL.PTGDS,PTGDS,PiD_vs_CTL,Significant
PiD_vs_CTL.SEPTIN5,SEPTIN5,PiD_vs_CTL,Significant
PiD_vs_CTL.EEF1A2,EEF1A2,PiD_vs_CTL,Significant
PiD_vs_CTL.CD47,CD47,PiD_vs_CTL,Significant
PiD_vs_CTL.BAIAP2,BAIAP2,PiD_vs_CTL,Significant
PiD_vs_CTL.DPYSL4,DPYSL4,PiD_vs_CTL,Significant
PiD_vs_CTL.LRRC16A,LRRC16A,PiD_vs_CTL,Significant
PiD_vs_CTL.PSME2,PSME2,PiD_vs_CTL,Significant
PiD_vs_CTL.ANK2,ANK2,PiD_vs_CTL,Significant
PiD_vs_CTL.CXADR,CXADR,PiD_vs_CTL,Significant
PiD_vs_CTL.PFN2,PFN2,PiD_vs_CTL,Significant
PiD_vs_CTL.KIAA1045,KIAA1045,PiD_vs_CTL,Significant
PiD_vs_CTL.WDR37,WDR37,PiD_vs_CTL,Significant
PiD_vs_CTL.ARHGDIA,ARHGDIA,PiD_vs_CTL,Significant
PiD_vs_CTL.FRRS1L,FRRS1L,PiD_vs_CTL,Significant
PiD_vs_CTL.AP3D1,AP3D1,PiD_vs_CTL,Significant
PiD_vs_CTL.NUDT5,NUDT5,PiD_vs_CTL,Significant
PiD_vs_CTL.GPX1,GPX1,PiD_vs_CTL,Significant
PiD_vs_CTL.PRKCE,PRKCE,PiD_vs_CTL,Significant
PiD_vs_CTL.EFR3B,EFR3B,PiD_vs_CTL,Significant
PiD_vs_CTL.TTYH3,TTYH3,PiD_vs_CTL,Significant
PiD_vs_CTL.CADM4,CADM4,PiD_vs_CTL,Significant
PiD_vs_CTL.FAM126B,FAM126B,PiD_vs_CTL,Significant
PiD_vs_CTL.ADRBK1,ADRBK1,PiD_vs_CTL,Significant
PiD_vs_CTL.LCP1,LCP1,PiD_vs_CTL,Significant
PiD_vs_CTL.RAB14,RAB14,PiD_vs_CTL,Significant
PiD_vs_CTL.PPP2R5E,PPP2R5E,PiD_vs_CTL,Significant
PiD_vs_CTL.KCTD16,KCTD16,PiD_vs_CTL,Significant
PiD_vs_CTL.PREP,PREP,PiD_vs_CTL,Significant
PiD_vs_CTL.CCNY,CCNY,PiD_vs_CTL,Significant
PiD_vs_CTL.PHYHIPL,PHYHIPL,PiD_vs_CTL,Significant
PiD_vs_CTL.CNDP2,CNDP2,PiD_vs_CTL,Significant
PiD_vs_CTL.AAK1,AAK1,PiD_vs_CTL,Significant
